C3降低,C3降低、C3、肝病科、肾病、肝炎肝病、风湿疾病、免疫功能
C4降低,C4降低、C4、风湿科、风湿疾病、免疫功能
CA125增高,CA125增高、血清糖链多肽抗原125、血清癌抗原125、血清糖链抗原125、ca125、肿瘤科、肿瘤、肿瘤相关抗原
CA153增高,CA153增高、CA153、肿瘤科
CA199增高,CA199增高、糖基抗原CA199、CA199、体检保健科、直肠癌、胰腺癌、结肠癌、肿瘤、肿瘤相关抗原
CA242增高,CA242增高、血清糖链抗原242、血清癌抗原242、CA242、肿瘤科、肿瘤、肿瘤相关抗原
CA50增高,CA50增高、血清糖链抗原50、血清糖类抗原50、血清癌抗原50、CA50、消化内科、肿瘤科、肿瘤、肿瘤相关抗原
CA724增高,CA724增高、CA724、肿瘤科
CD3增高,CD3增高、分化簇3 、CD3、免疫科
CD3降低,CD3降低、分化簇3 、CD3、免疫科
CYFRA21-1偏高,CYFRA21-1偏高、CYFRA21-1肿瘤科、肺癌、老年人肺癌、乳腺癌、膀胱癌、蛋白质
C反应蛋白增高,C反应蛋白增高、CRP、呼吸内科、内科
C肽增高,C肽增高、血清C-PR、C-PR、泌尿外科、青年人中的成年发病型糖尿病、儿童糖尿病、妊娠糖尿病、胰岛功能性β细胞瘤、糖尿病、糖及其代谢物
C肽降低,C肽降低、血清C-PR、C-PR、泌尿外科、低血糖综合症、老年人低血糖症、儿童糖尿病、妊娠糖尿病、糖尿病、糖及其代谢物
D-二聚体增高,D-二聚体增高、D-Dimer、D-D、心血管内科、呼吸内科、血液病、凝血
HLA-B27阳性,HLA-B27阳性、HLA-B27、风湿免疫科、凝血
HPV-DNA分型检测阳性,HPV-DNA分型检测阳性、人乳头瘤病毒检测、Hpv检测、Hpv、生殖健康、肿瘤
NSE增高,NSE增高、血清神经元特异性烯醇化酶、NSE、肿瘤科、小细胞肺癌、肺癌、老年人肺癌、神经母细胞瘤、肿瘤、肿瘤相关抗原
r-谷氨酰基转移酶偏高,r-谷氨酰基转移酶偏高、血清GGT、GGT、肝胆外科、肝炎肝病、肝病的实验诊断
RPR阳性,RPR阳性、快速血浆反应素试验、RPR、生殖健康、皮肤病、无机元素
R波递增不良,R波递增不良、胸部、心脏、内科、心内科、肥厚型梗阻性心肌病、肥厚型心肌病、缺血性心肌病、心绞痛、溃疡性结肠炎、多发性骨髓瘤、慢性骨髓炎、类风湿性关节炎、淀粉样变心肌病、淀粉样变性、老年人缺血性心肌病、老年人心脏淀粉样变性、老年心肌病、积聚、心电图
TCD检查:椎基底动脉血流速度减慢,TCD检查:椎基底动脉血流速度减慢、TCD、神经内科
TCD检查:椎基底动脉血流速度增快,TCD检查:椎基底动脉血流速度增快、TCD、神经内科
TPPA阳性,TPPA阳性、TPPA、传染科、体检保健科、性病
β2-微球蛋白增高,β2-微球蛋白增高、β2、肾内科、肾病
三碘甲状腺原氨酸增高,三碘甲状腺原氨酸增高、颈部、甲状腺 、血清TT3、TT3、内分泌科、甲状腺专科、上巩膜静脉压升高所致青光眼、妊娠期甲状腺功能亢进、毒性弥漫性甲状腺肿、老年人甲状腺功能亢进症、甲状腺功能、激素
三碘甲状腺原氨酸降低,三碘甲状腺原氨酸降低、颈部、甲状腺、血清TT3、TT3、内分泌科、甲状腺专科、老年甲状腺功能减退症、妊娠合并甲状腺功能减退、甲状腺功能、激素
上皮角化过度,上皮角化过度、皮肤、皮肤科、脓毒症和菌血症、皮损
上颌窦囊肿,上颌窦囊肿、头部、耳、耳鼻咽喉科
下肢静脉曲张,下肢静脉曲张、下肢、腿、单纯性下肢静脉曲张、心血管内科、血管外科、脉管炎、血栓性静脉炎、静脉曲张、下肢浅静脉曲张、下肢无力
丙氨酸氨基转移酶增高,丙氨酸氨基转移酶增高、消化内科、传染科、糖尿病、维生素、氨基酸与血药浓度
丙肝,丙肝、腹部、肝、丙型病毒性肝炎、丙型肝炎、传染科、肝炎、肝硬化、尿黄似浓茶、食欲减退、肝肿大、肝区痛、球蛋白异常、血常规、尿常规、肝功能
中值细胞百分率偏低,中值细胞百分率偏低、中间细胞(MID)、MID、血液内科
中值细胞百分率增高,中值细胞百分率增高、中间细胞(MID)、MID、血液内科
中值细胞绝对值增高,中值细胞绝对值增高、中间细胞(MID)、MID、血液内科
中性粒细胞值增高,中性粒细胞值增高、NEUT、血液科、细菌性前列腺炎、鼻咽炎、中性粒细胞增多症、药物性食管炎、血液病、肝炎肝病、肺炎
中性粒细胞值降低,中性粒细胞值降低、NEUT、血液科、斯蒂尔病、环状红斑、呼吸道合胞病毒感染、口蹄疫、血液病、肝炎肝病、肺炎
中性粒细胞百分率增高,中性粒细胞百分率增高、NEUT%、NEUT、血液科、血液病、炎症
中性粒细胞百分率降低,中性粒细胞百分率降低、NEUT%、NEUT、血液科、血液病、炎症
中耳炎,中耳炎、头部、耳、耳鼻喉科、气压创伤性中耳炎、分泌性中耳炎、粘连性中耳炎、急性化脓性中耳炎、慢性化脓性中耳炎、听力减退、耳痛、耳内闭塞感、鼓膜、拔瓶塞声、听力扫描
主动脉型心脏,主动脉型心脏、胸部、心脏、心血管内科、心内科
主动脉增宽,主动脉增宽、心内科、血管外科
主动脉瓣反流,主动脉瓣反流、心内科、血管外科
主动脉瘤,主动脉瘤、肿瘤科、心血管内科、神经系统的放射性损伤、动脉瘤、消瘦、血管杂音、收缩期杂音、动脉造影
主动脉结钙化,主动脉结钙化、心胸外科
主动脉迂曲,主动脉迂曲、心内科、心胸外科
义齿,义齿、头部、口、牙科、口腔科
乙肝,乙肝、腹部、肝、乙型肝炎、传染科、肝病、肝性脑病、肝硬化、肝肾综合征、肝炎、暴发性肝衰竭、大三阳、小三阳、转氨酶增高、肝肿大、核心抗体（抗HBc）阳性、肝功、乙肝五项
乙肝大三阳,乙肝大三阳、腹部、肝、大三阳、传染科、肝病
乙肝小三阳,乙肝小三阳、腹部、肝、小三阳、传染科、肝病、重型乙肝、慢性乙肝、肝炎、肝硬化
乳突区肿大,乳突区肿大、头部、耳、耳鼻咽喉科
乳腺囊肿,乳腺囊肿、胸部、乳腺、普外科、慢性乳腺炎
乳腺增生,乳腺增生、胸部、乳腺、乳房囊性增生病、乳腺小叶增生、乳腺增生症、乳腺结构不良症、乳痛症、乳腺外科、妇科、乳腺癌、月经不调、经期前乳房痛、腋窝痛、乳腺囊性增生、乳腺小叶增生、乳房硬化、乳腺X线、乳腺磁共振
乳腺实性占位,乳腺实性占位、胸部、乳腺、乳腺外科、乳腺肉瘤、乳腺癌、乳腺纤维瘤、乳腺囊性增生病、乳腺结核、乳腺活检
乳腺导管扩张,乳腺导管扩张、胸部、乳腺、乳腺导管扩张症、闭塞性乳腺炎、粉刺性乳腺炎、乳腺外科、乳房疼痛、乳房硬化、乳腺囊性增生、乳腺外上象限腺体增厚、乳腺退化不全、乳腺、乳管镜、乳腺导管造影
乳腺小叶增生,乳腺小叶增生、胸部、乳腺、Ⅰ期乳腺增生、乳腺外科、妇科、乳腺癌、乳腺增生、乳腺腺病、闭经溢乳综合征、乳腺、近红外线乳腺扫描、乳腺超声、乳腺导管造影、乳房自检
乳腺异常回声,乳腺异常回声、胸部、乳腺、乳腺外科
乳腺炎,乳腺炎、胸部、乳腺、妇科、急性乳腺炎、急性化脓性乳腺炎、慢性乳腺炎、乳房肿块、乳房胀痛、局部压痛、彩超
乳腺纤维瘤,乳腺纤维瘤、胸部、乳腺、肿瘤科、普外科、皮肤出现硬块、色素沉着钼靶摄片、活检、镜检
乳腺结节,乳腺结节、胸部、乳腺、乳腺外科、乳腺增生、乳腺良性肿瘤、乳腺恶性肿瘤、乳腺触诊、乳腺钼靶X线、彩色多普勒超声
乳腺腺体结构紊乱,乳腺腺体结构紊乱、胸部、乳腺、乳腺外科
乳腺退化不全,乳腺退化不全、胸部、乳腺、乳腺外科、乳腺增生、浆细胞性乳腺炎
乳腺钙化,乳腺钙化、胸部、乳腺、乳腺外科、乳腺癌、乳腺超声
交界性心律,交界性心律、胸部、心脏、房室交界区性心律 、心血管内科
人乳头瘤病毒（HPV）阳性,人乳头瘤病毒（HPV）阳性、女性生殖、外阴、人乳头瘤病毒检测、Hpv检测、Hpv、生殖健康、肿瘤
人绒毛膜促性腺激素增高,人绒毛膜促性腺激素增高、人绒毛膜促性腺激素、HCG、产科、葡萄胎、鬼胎、异位妊娠、妇科疾病、产检、激素
会阴旧裂,会阴旧裂、女性生殖、外阴、妇产科 
佝偻病,佝偻病、骨、维生素D缺乏病、维生素D缺乏性佝偻病、骨软化、骨软化病、骨质软化、软骨病、英吉利病、骨科、鸡胸、胸廓畸形、串珠肋、罗圈腿、膝内翻、婴儿枕秃、骨骼X线
促卵泡生成素(FSH)增高,促卵泡生成素(FSH)增高、血清卵泡刺激素、血清促卵泡成熟激素、血清FSH、FSH、妇科、产科、卵泡囊肿、早熟性儿童乳房肥大症、闭经溢乳综合征、睾丸女性化、妇科疾病、激素
促卵泡生成素(FSH)降低,促卵泡生成素(FSH)降低、血清卵泡刺激素、血清促卵泡成熟激素、血清FSH、FSH、妇科、产科、高泌乳素血症、高催乳素血症、无功能垂体腺瘤、下丘脑综合征、妇科疾病、激素
促黄体生成素增高,促黄体生成素增高、LH、血液科、妇科、体检保健科、妊娠期尿路感染、伤寒性心肌炎、腰痛-血尿综合征、膀胱与尿道结石、产检、激素
促黄体生成素降低,促黄体生成素降低、LH、血液科、妇科、体检保健科、产检、激素
偏瘦,偏瘦、全身、体检保健科
全血铁增高,全血铁增高、血液科、血液病、溶血
全血铁降低,全血铁降低、血液科、血液病、溶血
冠心病,冠心病、胸部、心脏、冠状动脉粥样硬化性心脏病、心血管内科、心胸外科、乳头肌功能不全、动脉栓塞、心肌梗塞、肺水肿、休克、心源性休克、心力衰竭、缺血性心肌病、冠心病的项目之心电图负荷试、动态心电图、心电图
冠状窦性心律,冠状窦性心律、胸部、心脏、心内科
前列腺占位性病变,前列腺占位性病变、男性生殖、前列腺、泌尿外科
前列腺囊肿,前列腺囊肿、男性生殖、前列腺、男科、生殖健康、肾发育不全、尿流变细或中断、脓尿、膀胱镜、B型超声、直肠或会阴穿刺
前列腺回声异常,前列腺回声异常、男性生殖、前列腺、泌尿外科
前列腺增生,前列腺增生、男性生殖、前列腺、前列腺肥大症、泌尿外科、男科、尿路感染、膀胱炎、肾积水、膀胱结石、血尿、肾周围炎、前列腺炎、淋病、前列腺癌、尿流变细或中断、尿流中断、尿后滴沥、膀胱排空不全、逼尿肌不稳定、肛门指诊
前列腺炎,前列腺炎、男性生殖、前列腺、前列腺精囊炎、男科、泌尿外科、附睾炎、早泄、神经官能症、精囊炎、睾丸炎、骨盆痛、无症状性菌尿、尿道烧灼感、排尿不畅、急性尿潴留、前列腺穿刺活组织检测检测、下尿路尿活动力学检测、前列腺液检测、直肠指诊
前列腺特异性抗原增高,前列腺特异性抗原增高、男性生殖、前列腺、PSA、泌尿外科
前列腺结石,前列腺结石、男性生殖、前列腺、泌尿外科、早泄、尿毒症、泌尿道狭窄、腰骶疼痛、阴茎疼痛、膀胱尿道镜
前列腺钙化灶,前列腺钙化灶、男性生殖、前列腺、男科、前列腺结石、精液、精液黏稠度、精液乳酸脱氢酶-X、血清PSA、精液气味
前庭大腺囊肿,前庭大腺囊肿、女性生殖、外阴、前庭大腺炎、巴氏腺囊肿、巴索林囊肿、妇科、外阴肿瘤、外阴表皮样囊肿、囊肿、外阴下坠感、外阴肿胀、性交困难
前牙反牙合,前牙反牙合、头部、口、牙科、下颌前突、颌突畸形
副乳,副乳、胸部、乳腺、多乳房畸形、多乳头症、多乳房、乳腺外科、妇科、钼靶X线片
副耳,副耳、头部、耳、耳鼻喉科、耳疮、小儿眼-耳-脊椎综合征
副脾,副脾、腹部、脾、消化内科、肠梗阻、副脾扭转、破裂出血
动脉导管未闭,动脉导管未闭、心血管内科、心胸外科、肺动脉高压、乳糜胸、紫绀、杵状指（趾）、心脏杂音、水冲脉、毛细血管搏动、心电图、胸部X线心动图、升主动脉造影、右心导管或逆行性主动脉造影
